Players,PG,SG,SF,PF,C,Year 1,Year 2,Year 3,Year 4,Year 5,Salary,SUNS,EWA,TS%,AST,TO,REBR,POP
Zach Randolph,0,0,0,1,1,0,1,0,0,1,12.307692,0,4.4,0.596,8.6,8.4,10.8,0
Mason Plumlee,0,0,0,0,1,0,0,1,0,0,14.041096,0,4.3,0.529,13,9.1,11,0
Greg Monroe,0,0,0,1,1,1,0,0,1,0,17.884176,0,4.2,0.526,26.4,13.6,8.7,0
DeMarre Carroll,0,0,1,1,0,0,1,0,0,1,14.8,0,4.2,0.543,9.6,10.8,13.1,0
Marcin Gortat,0,0,0,0,1,0,1,0,0,1,12.782609,0,4.2,0.559,9.3,7.3,14.1,0
James Johnson,0,0,1,1,0,0,0,0,1,0,13.954,0,4.1,0.509,8.9,8.1,6.8,0
Bojan Bogdanovic,0,1,1,1,0,0,1,0,0,1,10.5,0,4.1,0.554,17.4,10.9,5.9,0
Thaddeus Young,0,0,0,1,0,0,1,0,0,1,14.796348,0,4,0.619,36.5,10.5,7.8,0
Jerami Grant,0,0,1,1,0,1,0,0,1,0,1.524305,0,4,0.518,26.8,8.1,6.1,0
Ricky Rubio,1,0,0,0,0,0,1,0,0,1,14.275,0,3.9,0.6,12.8,12.8,17.8,0
Nikola Mirotic,0,0,0,1,0,0,1,0,0,1,12.5,0,3.9,0.579,26,10.6,7.5,0
Rudy Gay,0,0,1,1,0,0,1,0,0,1,8.406,0,3.9,0.561,26.4,8.1,6.9,0
Andrew Wiggins,0,1,1,0,0,0,0,0,0,0,7.574322,0,3.9,0.614,27.9,11.6,5.1,0
Josh Richardson,0,1,1,0,0,0,0,0,0,1,1.471382,0,3.9,0.531,12.9,7.8,6.5,0
Dewayne Dedmon,0,0,0,0,1,0,1,0,0,1,6,0,3.8,0.507,20.2,12.4,9.3,0
Ish Smith,1,0,0,0,0,0,1,0,0,1,6,0,3.8,0.519,29.3,10.7,8.3,0
